---Resultados de clientes ejercicio 2a dispatcher round robin---
Cliente;Tiempo medio de servicio
Cliente73;0,0280869
Cliente25;0,0281352
Cliente96;0,0281177
Cliente9;0,0281166
Cliente7;0,0281267
Cliente24;0,0281468
Cliente85;0,0281357
Cliente78;0,0281952
Cliente74;0,0280854
Cliente3;0,0281288
Cliente84;0,0281396
Cliente65;0,028119
Cliente19;0,0281393
Cliente11;0,0281201
Cliente21;0,0281349
Cliente2;0,0281395
Cliente82;0,0281134
Cliente12;0,0281636
Cliente0;0,0280904
Cliente6;0,0281049
Cliente90;0,0280975
Cliente8;0,0281734
Cliente15;0,0281163
Cliente4;0,0280495
Cliente69;0,0281396
Cliente60;0,0281087
Cliente89;0,0281544
Cliente93;0,0281676
Cliente86;0,0281144
Cliente72;0,0281253
Cliente95;0,0281357
Cliente70;0,0281274
Cliente16;0,0281246
Cliente66;0,0280953
Cliente80;0,0281448
Cliente28;0,028136
Cliente44;0,028122
Cliente50;0,0281449
Cliente13;0,0281256
Cliente40;0,0281561
Cliente57;0,0281603
Cliente27;0,0281521
Cliente36;0,0281362
Cliente35;0,0281343
Cliente46;0,0282095
Cliente47;0,028191
Cliente41;0,0281744
Cliente54;0,0281149
Cliente94;0,0281296
Cliente58;0,0281642
Cliente62;0,0281774
Cliente83;0,0281275
Cliente30;0,0281488
Cliente81;0,0281955
Cliente63;0,028116
Cliente67;0,0281657
Cliente91;0,0281594
Cliente51;0,0281481
Cliente92;0,0281274
Cliente53;0,0281664
Cliente18;0,0281669
Cliente20;0,0281622
Cliente29;0,028146
Cliente87;0,0281317
Cliente23;0,0280932
Cliente34;0,0281428
Cliente59;0,0281467
Cliente10;0,0281073
Cliente52;0,0281413
Cliente5;0,0281149
Cliente22;0,0281504
